"row_idx" "variable" "value"
"231" 39 "V116" 1
"232" 338 "V116" 1
"233" 437 "V116" 1
"234" 98 "V120" 1
"235" 369 "V120" 1
"236" 496 "V120" 1
"237" 523 "V120" 1
"238" 312 "V125" 1
"239" 425 "V128" 1
"240" 20 "V135" 1
"241" 63 "V136" 1
"242" 280 "V136" 1
"243" 629 "V139" 1
"244" 49 "V140" 1
"245" 94 "V140" 1
"246" 121 "V140" 1
"247" 131 "V140" 1
"248" 176 "V140" 1
"249" 202 "V140" 1
"250" 226 "V140" 1
"251" 244 "V140" 1
"252" 272 "V140" 1
"253" 331 "V140" 1
"254" 393 "V140" 1
"255" 507 "V140" 1
"256" 525 "V140" 1
"257" 565 "V140" 1
"258" 570 "V140" 1
"259" 617 "V140" 1
"260" 625 "V140" 1
"261" 672 "V140" 1
"262" 252 "V141" 1
"263" 369 "V141" 1
"264" 497 "V141" 1
"265" 47 "V143" 1
"266" 87 "V145" 1
"267" 362 "V145" 1
"268" 531 "V145" 1
"269" 3 "V147" 1
"270" 379 "V150" 1
"271" 89 "V151" 1
"272" 98 "V151" 1
"273" 205 "V151" 1
"274" 245 "V151" 1
"275" 252 "V151" 1
"276" 262 "V151" 1
"277" 328 "V151" 1
"278" 345 "V151" 1
"279" 369 "V151" 1
"280" 462 "V151" 1
"281" 481 "V151" 1
"282" 492 "V151" 1
"283" 496 "V151" 1
"284" 547 "V152" 1
"285" 421 "V161" 1
"286" 49 "V165" 1
"287" 51 "V165" 1
"288" 59 "V165" 1
"289" 93 "V165" 1
"290" 94 "V165" 1
"291" 102 "V165" 1
"292" 121 "V165" 1
"293" 124 "V165" 1
"294" 149 "V165" 1
"295" 192 "V165" 1
"296" 229 "V165" 1
"297" 290 "V165" 1
"298" 313 "V165" 1
"299" 317 "V165" 1
"300" 318 "V165" 1
"301" 330 "V165" 1
"302" 347 "V165" 1
"303" 372 "V165" 1
"304" 445 "V165" 1
"305" 463 "V165" 1
"306" 565 "V165" 1
"307" 568 "V165" 1
"308" 589 "V165" 1
"309" 598 "V165" 1
"310" 617 "V165" 1
"311" 625 "V165" 1
"312" 670 "V165" 1
"313" 695 "V165" 1
"314" 704 "V165" 1
"315" 49 "V166" 1
"316" 51 "V166" 1
"317" 59 "V166" 1
"318" 88 "V166" 1
"319" 94 "V166" 1
"320" 102 "V166" 1
"321" 121 "V166" 1
"322" 149 "V166" 1
"323" 186 "V166" 1
"324" 196 "V166" 1
"325" 226 "V166" 1
"326" 243 "V166" 1
"327" 290 "V166" 1
"328" 296 "V166" 1
"329" 330 "V166" 1
"330" 341 "V166" 1
"331" 429 "V166" 1
"332" 455 "V166" 1
"333" 459 "V166" 1
"334" 565 "V166" 1
"335" 568 "V166" 1
"336" 589 "V166" 1
"337" 598 "V166" 1
"338" 617 "V166" 1
"339" 625 "V166" 1
"340" 695 "V166" 1
"341" 177 "V171" 1
"342" 49 "V176" 1
"343" 102 "V176" 1
"344" 121 "V176" 1
"345" 126 "V176" 1
"346" 336 "V176" 1
"347" 575 "V176" 1
"348" 617 "V176" 1
"349" 625 "V176" 1
"350" 692 "V176" 1
"351" 316 "V184" 1
"352" 383 "V184" 1
"353" 411 "V184" 1
"354" 487 "V184" 1
"355" 554 "V184" 1
"356" 166 "V186" 1
"357" 47 "V187" 1
"358" 166 "V187" 1
"359" 527 "V187" 1
"360" 165 "V190" 1
"361" 282 "V190" 1
"362" 49 "V195" 1
"363" 51 "V195" 1
"364" 59 "V195" 1
"365" 102 "V195" 1
"366" 121 "V195" 1
"367" 124 "V195" 1
"368" 149 "V195" 1
"369" 246 "V195" 1
"370" 318 "V195" 1
"371" 341 "V195" 1
"372" 565 "V195" 1
"373" 589 "V195" 1
"374" 598 "V195" 1
"375" 617 "V195" 1
"376" 625 "V195" 1
"377" 670 "V195" 1
"378" 695 "V195" 1
"379" 141 "V196" 1
"380" 588 "V197" 1
"381" 61 "V198" 1
"382" 256 "V201" 1
"383" 252 "V202" 1
"384" 256 "V202" 1
"385" 293 "V204" 1
"386" 394 "V204" 1
"387" 173 "V207" 1
"388" 581 "V207" 1
"389" 687 "V207" 1
"390" 447 "V208" 1
"391" 142 "V209" 1
"392" 638 "V209" 1
"393" 614 "V219" 1
"394" 49 "V222" 1
"395" 51 "V222" 1
"396" 59 "V222" 1
"397" 102 "V222" 1
"398" 121 "V222" 1
"399" 149 "V222" 1
"400" 330 "V222" 1
"401" 341 "V222" 1
"402" 478 "V222" 1
"403" 589 "V222" 1
"404" 598 "V222" 1
"405" 617 "V222" 1
"406" 625 "V222" 1
"407" 695 "V222" 1
"408" 36 "V224" 1
"409" 50 "V224" 1
"410" 51 "V224" 1
"411" 59 "V224" 1
"412" 93 "V224" 1
"413" 149 "V224" 1
"414" 330 "V224" 1
"415" 530 "V224" 1
"416" 565 "V224" 1
"417" 589 "V224" 1
"418" 598 "V224" 1
"419" 695 "V224" 1
"420" 173 "V226" 1
"421" 581 "V226" 1
"422" 49 "V233" 1
"423" 94 "V233" 1
"424" 102 "V233" 1
"425" 121 "V233" 1
"426" 131 "V233" 1
"427" 176 "V233" 1
"428" 226 "V233" 1
"429" 272 "V233" 1
"430" 331 "V233" 1
"431" 377 "V233" 1
"432" 393 "V233" 1
"433" 507 "V233" 1
"434" 525 "V233" 1
"435" 565 "V233" 1
"436" 570 "V233" 1
"437" 617 "V233" 1
"438" 625 "V233" 1
"439" 32 "V238" 1
"440" 83 "V238" 1
"441" 177 "V238" 1
"442" 547 "V239" 1
"443" 574 "V239" 1
"444" 173 "V241" 1
"445" 452 "V241" 1
"446" 512 "V241" 1
"447" 272 "V242" 1
"448" 390 "V242" 1
"449" 394 "V242" 1
"450" 445 "V242" 1
"451" 500 "V242" 1
"452" 525 "V242" 1
"453" 542 "V242" 1
"454" 487 "V243" 1
"455" 554 "V243" 1
"456" 17 "V244" 1
"457" 94 "V244" 1
"458" 97 "V244" 1
"459" 101 "V244" 1
"460" 323 "V244" 1
"461" 326 "V244" 1
"462" 394 "V244" 1
"463" 399 "V244" 1
"464" 426 "V244" 1
"465" 586 "V244" 1
"466" 692 "V244" 1
"467" 697 "V244" 1
"468" 72 "V245" 1
"469" 623 "V245" 1
"470" 300 "V247" 1
"471" 479 "V247" 1
"472" 655 "V247" 1
"473" 580 "V248" 1
"474" 84 "V249" 1
"475" 139 "V249" 1
"476" 144 "V249" 1
"477" 272 "V249" 1
"478" 293 "V249" 1
"479" 500 "V249" 1
"480" 551 "V249" 1
"481" 497 "V254" 1
"482" 49 "V257" 1
"483" 50 "V257" 1
"484" 51 "V257" 1
"485" 94 "V257" 1
"486" 102 "V257" 1
"487" 121 "V257" 1
"488" 126 "V257" 1
"489" 146 "V257" 1
"490" 149 "V257" 1
"491" 176 "V257" 1
"492" 186 "V257" 1
"493" 207 "V257" 1
"494" 303 "V257" 1
"495" 317 "V257" 1
"496" 330 "V257" 1
"497" 331 "V257" 1
"498" 341 "V257" 1
"499" 347 "V257" 1
"500" 398 "V257" 1
"501" 449 "V257" 1
"502" 525 "V257" 1
"503" 530 "V257" 1
"504" 565 "V257" 1
"505" 568 "V257" 1
"506" 570 "V257" 1
"507" 598 "V257" 1
"508" 617 "V257" 1
"509" 625 "V257" 1
"510" 627 "V257" 1
"511" 678 "V257" 1
"512" 679 "V257" 1
"513" 695 "V257" 1
"514" 142 "V259" 1
"515" 269 "V259" 1
"516" 632 "V259" 1
"517" 638 "V259" 1
"518" 23 "V261" 1
"519" 566 "V262" 1
"520" 36 "V264" 1
"521" 88 "V264" 1
"522" 296 "V264" 1
"523" 456 "V264" 1
"524" 15 "V265" 1
"525" 15 "V270" 1
"526" 129 "V272" 1
"527" 538 "V272" 1
"528" 13 "V274" 1
"529" 44 "V274" 1
"530" 86 "V274" 1
"531" 111 "V274" 1
"532" 145 "V274" 1
"533" 152 "V274" 1
"534" 307 "V274" 1
"535" 311 "V274" 1
"536" 368 "V274" 1
"537" 397 "V274" 1
"538" 424 "V274" 1
"539" 524 "V274" 1
"540" 582 "V274" 1
"541" 669 "V274" 1
"542" 673 "V274" 1
"543" 434 "V277" 1
"544" 16 "V279" 1
"545" 17 "V279" 1
"546" 70 "V279" 1
"547" 73 "V279" 1
"548" 94 "V279" 1
"549" 109 "V279" 1
"550" 176 "V279" 1
"551" 226 "V279" 1
"552" 229 "V279" 1
"553" 317 "V279" 1
"554" 331 "V279" 1
"555" 432 "V279" 1
"556" 545 "V279" 1
"557" 568 "V279" 1
"558" 570 "V279" 1
"559" 571 "V279" 1
"560" 581 "V279" 1
"561" 627 "V279" 1
"562" 655 "V279" 1
"563" 670 "V279" 1
"564" 687 "V279" 1
"565" 692 "V279" 1
"566" 24 "V280" 1
"567" 63 "V280" 1
"568" 375 "V280" 1
"569" 538 "V280" 1
"570" 549 "V280" 1
"571" 668 "V280" 1
"572" 681 "V280" 1
"573" 136 "V286" 1
"574" 256 "V286" 1
"575" 136 "V287" 1
"576" 256 "V287" 1
"577" 49 "V289" 1
"578" 94 "V289" 1
"579" 102 "V289" 1
"580" 110 "V289" 1
"581" 121 "V289" 1
"582" 124 "V289" 1
"583" 137 "V289" 1
"584" 171 "V289" 1
"585" 175 "V289" 1
"586" 176 "V289" 1
"587" 186 "V289" 1
"588" 226 "V289" 1
"589" 229 "V289" 1
"590" 253 "V289" 1
"591" 258 "V289" 1
"592" 272 "V289" 1
"593" 290 "V289" 1
"594" 295 "V289" 1
"595" 303 "V289" 1
"596" 341 "V289" 1
"597" 445 "V289" 1
"598" 525 "V289" 1
"599" 562 "V289" 1
"600" 565 "V289" 1
"601" 568 "V289" 1
"602" 589 "V289" 1
"603" 598 "V289" 1
"604" 617 "V289" 1
"605" 625 "V289" 1
"606" 695 "V289" 1
"607" 421 "V290" 1
"608" 574 "V291" 1
"609" 591 "V291" 1
"610" 624 "V291" 1
"611" 474 "V296" 1
"612" 13 "V303" 1
"613" 44 "V303" 1
"614" 86 "V303" 1
"615" 111 "V303" 1
"616" 127 "V303" 1
"617" 145 "V303" 1
"618" 152 "V303" 1
"619" 184 "V303" 1
"620" 307 "V303" 1
"621" 311 "V303" 1
"622" 368 "V303" 1
"623" 389 "V303" 1
"624" 397 "V303" 1
"625" 424 "V303" 1
"626" 524 "V303" 1
"627" 582 "V303" 1
"628" 597 "V303" 1
"629" 669 "V303" 1
"630" 673 "V303" 1
"631" 50 "V310" 1
"632" 51 "V310" 1
"633" 59 "V310" 1
"634" 102 "V310" 1
"635" 126 "V310" 1
"636" 146 "V310" 1
"637" 149 "V310" 1
"638" 161 "V310" 1
"639" 290 "V310" 1
"640" 330 "V310" 1
"641" 341 "V310" 1
"642" 565 "V310" 1
"643" 589 "V310" 1
"644" 598 "V310" 1
"645" 617 "V310" 1
"646" 625 "V310" 1
"647" 627 "V310" 1
"648" 695 "V310" 1
"649" 574 "V311" 1
"650" 581 "V311" 1
"651" 61 "V312" 1
"652" 322 "V312" 1
"653" 383 "V312" 1
"654" 434 "V312" 1
"655" 594 "V312" 1
"656" 122 "V313" 1
"657" 47 "V316" 1
"658" 277 "V316" 1
"659" 42 "V318" 1
"660" 487 "V318" 1
"661" 574 "V318" 1
"662" 3 "V319" 1
"663" 113 "V321" 1
"664" 141 "V321" 1
"665" 662 "V321" 1
"666" 25 "V323" 1
"667" 49 "V323" 1
"668" 65 "V323" 1
"669" 94 "V323" 1
"670" 102 "V323" 1
"671" 121 "V323" 1
"672" 147 "V323" 1
"673" 161 "V323" 1
"674" 176 "V323" 1
"675" 202 "V323" 1
"676" 226 "V323" 1
"677" 244 "V323" 1
"678" 272 "V323" 1
"679" 331 "V323" 1
"680" 336 "V323" 1
"681" 377 "V323" 1
"682" 393 "V323" 1
"683" 432 "V323" 1
"684" 507 "V323" 1
"685" 525 "V323" 1
"686" 565 "V323" 1
"687" 567 "V323" 1
"688" 570 "V323" 1
"689" 617 "V323" 1
"690" 625 "V323" 1
"691" 663 "V323" 1
"692" 672 "V323" 1
"693" 3 "V325" 1
"694" 49 "V327" 1
"695" 51 "V327" 1
"696" 59 "V327" 1
"697" 75 "V327" 1
"698" 102 "V327" 1
"699" 121 "V327" 1
"700" 124 "V327" 1
"701" 149 "V327" 1
"702" 192 "V327" 1
"703" 246 "V327" 1
"704" 295 "V327" 1
"705" 317 "V327" 1
"706" 330 "V327" 1
"707" 341 "V327" 1
"708" 372 "V327" 1
"709" 445 "V327" 1
"710" 565 "V327" 1
"711" 589 "V327" 1
"712" 598 "V327" 1
"713" 617 "V327" 1
"714" 625 "V327" 1
"715" 670 "V327" 1
"716" 695 "V327" 1
"717" 41 "V328" 1
"718" 529 "V328" 1
"719" 33 "V329" 1
"720" 49 "V329" 1
"721" 102 "V329" 1
"722" 121 "V329" 1
"723" 124 "V329" 1
"724" 137 "V329" 1
"725" 175 "V329" 1
"726" 186 "V329" 1
"727" 253 "V329" 1
"728" 272 "V329" 1
"729" 295 "V329" 1
"730" 303 "V329" 1
"731" 317 "V329" 1
"732" 325 "V329" 1
"733" 341 "V329" 1
"734" 344 "V329" 1
"735" 565 "V329" 1
"736" 568 "V329" 1
"737" 576 "V329" 1
"738" 589 "V329" 1
"739" 598 "V329" 1
"740" 617 "V329" 1
"741" 625 "V329" 1
"742" 49 "V331" 1
"743" 59 "V331" 1
"744" 102 "V331" 1
"745" 121 "V331" 1
"746" 149 "V331" 1
"747" 207 "V331" 1
"748" 330 "V331" 1
"749" 341 "V331" 1
"750" 589 "V331" 1
"751" 617 "V331" 1
"752" 625 "V331" 1
"753" 695 "V331" 1
"754" 430 "V336" 1
"755" 421 "V341" 1
"756" 430 "V347" 1
"757" 470 "V358" 1
"758" 17 "V359" 1
"759" 77 "V359" 1
"760" 91 "V359" 1
"761" 94 "V359" 1
"762" 97 "V359" 1
"763" 126 "V359" 1
"764" 173 "V359" 1
"765" 203 "V359" 1
"766" 265 "V359" 1
"767" 288 "V359" 1
"768" 326 "V359" 1
"769" 380 "V359" 1
"770" 394 "V359" 1
"771" 399 "V359" 1
"772" 443 "V359" 1
"773" 697 "V359" 1
"774" 142 "V360" 1
"775" 42 "V362" 1
"776" 348 "V362" 1
"777" 591 "V362" 1
"778" 17 "V363" 1
"779" 101 "V363" 1
"780" 333 "V363" 1
"781" 425 "V363" 1
"782" 438 "V363" 1
"783" 512 "V363" 1
"784" 574 "V363" 1
"785" 575 "V363" 1
"786" 16 "V367" 1
"787" 70 "V367" 1
"788" 155 "V367" 1
"789" 185 "V367" 1
"790" 333 "V367" 1
"791" 432 "V367" 1
"792" 450 "V367" 1
"793" 478 "V367" 1
"794" 544 "V367" 1
"795" 545 "V367" 1
"796" 550 "V367" 1
"797" 568 "V367" 1
"798" 571 "V367" 1
"799" 670 "V367" 1
"800" 36 "V369" 1
"801" 49 "V369" 1
"802" 50 "V369" 1
"803" 51 "V369" 1
"804" 102 "V369" 1
"805" 121 "V369" 1
"806" 347 "V369" 1
"807" 598 "V369" 1
"808" 625 "V369" 1
"809" 695 "V369" 1
"810" 36 "V375" 1
"811" 49 "V375" 1
"812" 51 "V375" 1
"813" 59 "V375" 1
"814" 88 "V375" 1
"815" 102 "V375" 1
"816" 121 "V375" 1
"817" 149 "V375" 1
"818" 317 "V375" 1
"819" 330 "V375" 1
"820" 341 "V375" 1
"821" 440 "V375" 1
"822" 455 "V375" 1
"823" 486 "V375" 1
"824" 589 "V375" 1
"825" 598 "V375" 1
"826" 617 "V375" 1
"827" 625 "V375" 1
"828" 32 "V378" 1
"829" 177 "V378" 1
"830" 371 "V378" 1
"831" 121 "V380" 1
"832" 330 "V380" 1
"833" 390 "V380" 1
"834" 139 "V381" 1
"835" 141 "V381" 1
"836" 500 "V381" 1
"837" 376 "V384" 1
"838" 256 "V390" 1
"839" 533 "V391" 1
"840" 171 "V395" 1
"841" 195 "V395" 1
"842" 258 "V395" 1
"843" 295 "V395" 1
"844" 396 "V395" 1
"845" 445 "V395" 1
"846" 459 "V395" 1
"847" 522 "V395" 1
"848" 570 "V395" 1
"849" 593 "V395" 1
"850" 604 "V395" 1
"851" 607 "V395" 1
"852" 642 "V395" 1
"853" 686 "V395" 1
"854" 695 "V395" 1
"855" 263 "V401" 1
"856" 510 "V401" 1
"857" 32 "V402" 1
"858" 83 "V402" 1
"859" 177 "V402" 1
"860" 39 "V403" 1
"861" 293 "V403" 1
"862" 554 "V403" 1
"863" 94 "V408" 1
"864" 110 "V408" 1
"865" 124 "V408" 1
"866" 176 "V408" 1
"867" 226 "V408" 1
"868" 253 "V408" 1
"869" 272 "V408" 1
"870" 295 "V408" 1
"871" 317 "V408" 1
"872" 325 "V408" 1
"873" 565 "V408" 1
"874" 576 "V408" 1
"875" 589 "V408" 1
"876" 598 "V408" 1
"877" 617 "V408" 1
"878" 402 "V409" 1
"879" 284 "V418" 1
"880" 428 "V419" 1
"881" 554 "V419" 1
"882" 23 "V420" 1
"883" 13 "V422" 1
"884" 44 "V422" 1
"885" 145 "V422" 1
"886" 389 "V422" 1
"887" 424 "V422" 1
"888" 524 "V422" 1
"889" 597 "V422" 1
"890" 11 "V424" 1
"891" 147 "V424" 1
"892" 300 "V424" 1
"893" 333 "V424" 1
"894" 378 "V424" 1
"895" 618 "V424" 1
"896" 651 "V424" 1
"897" 425 "V428" 1
"898" 262 "V429" 1
"899" 510 "V430" 1
"900" 17 "V431" 1
"901" 155 "V431" 1
"902" 176 "V431" 1
"903" 185 "V431" 1
"904" 226 "V431" 1
"905" 290 "V431" 1
"906" 293 "V431" 1
"907" 432 "V431" 1
"908" 550 "V431" 1
"909" 565 "V431" 1
"910" 568 "V431" 1
"911" 570 "V431" 1
"912" 627 "V431" 1
"913" 692 "V431" 1
"914" 49 "V436" 1
"915" 51 "V436" 1
"916" 59 "V436" 1
"917" 102 "V436" 1
"918" 121 "V436" 1
"919" 146 "V436" 1
"920" 149 "V436" 1
"921" 172 "V436" 1
"922" 207 "V436" 1
"923" 229 "V436" 1
"924" 273 "V436" 1
"925" 317 "V436" 1
"926" 330 "V436" 1
"927" 341 "V436" 1
"928" 390 "V436" 1
"929" 401 "V436" 1
"930" 478 "V436" 1
"931" 525 "V436" 1
"932" 542 "V436" 1
"933" 565 "V436" 1
"934" 587 "V436" 1
"935" 589 "V436" 1
"936" 598 "V436" 1
"937" 614 "V436" 1
"938" 617 "V436" 1
"939" 622 "V436" 1
"940" 625 "V436" 1
"941" 678 "V436" 1
"942" 695 "V436" 1
"943" 23 "V440" 1
"944" 66 "V441" 1
"945" 218 "V441" 1
"946" 17 "V443" 1
"947" 77 "V443" 1
"948" 91 "V443" 1
"949" 203 "V443" 1
"950" 265 "V443" 1
"951" 288 "V443" 1
"952" 323 "V443" 1
"953" 380 "V443" 1
"954" 394 "V443" 1
"955" 426 "V443" 1
"956" 429 "V443" 1
"957" 443 "V443" 1
"958" 586 "V443" 1
"959" 692 "V443" 1
"960" 705 "V443" 1
"961" 23 "V450" 1
"962" 42 "V453" 1
"963" 94 "V453" 1
"964" 348 "V453" 1
"965" 551 "V453" 1
"966" 624 "V453" 1
"967" 3 "V454" 1
"968" 190 "V458" 1
"969" 364 "V458" 1
"970" 596 "V458" 1
"971" 310 "V460" 1
"972" 392 "V460" 1
"973" 623 "V460" 1
"974" 13 "V461" 1
"975" 42 "V461" 1
"976" 44 "V461" 1
"977" 61 "V461" 1
"978" 111 "V461" 1
"979" 127 "V461" 1
"980" 145 "V461" 1
"981" 152 "V461" 1
"982" 157 "V461" 1
"983" 184 "V461" 1
"984" 229 "V461" 1
"985" 307 "V461" 1
"986" 311 "V461" 1
"987" 348 "V461" 1
"988" 368 "V461" 1
"989" 389 "V461" 1
"990" 424 "V461" 1
"991" 425 "V461" 1
"992" 461 "V461" 1
"993" 524 "V461" 1
"994" 574 "V461" 1
"995" 582 "V461" 1
"996" 591 "V461" 1
"997" 608 "V461" 1
"998" 624 "V461" 1
"999" 669 "V461" 1
"1000" 673 "V461" 1
"1001" 36 "V462" 1
"1002" 49 "V462" 1
"1003" 51 "V462" 1
"1004" 59 "V462" 1
"1005" 93 "V462" 1
"1006" 102 "V462" 1
"1007" 121 "V462" 1
"1008" 149 "V462" 1
"1009" 243 "V462" 1
"1010" 296 "V462" 1
"1011" 317 "V462" 1
"1012" 330 "V462" 1
"1013" 429 "V462" 1
"1014" 455 "V462" 1
"1015" 456 "V462" 1
"1016" 459 "V462" 1
"1017" 589 "V462" 1
"1018" 598 "V462" 1
"1019" 617 "V462" 1
"1020" 625 "V462" 1
"1021" 695 "V462" 1
"1022" 627 "V467" 1
"1023" 292 "V471" 1
"1024" 86 "V473" 1
"1025" 152 "V473" 1
"1026" 368 "V473" 1
"1027" 582 "V473" 1
"1028" 86 "V476" 1
"1029" 368 "V476" 1
"1030" 582 "V476" 1
"1031" 653 "V478" 1
"1032" 69 "V483" 1
"1033" 197 "V483" 1
"1034" 632 "V484" 1
"1035" 632 "V485" 1
"1036" 632 "V486" 1
"1037" 632 "V487" 1
"1038" 632 "V488" 1
"1039" 11 "V494" 1
"1040" 86 "V494" 1
"1041" 152 "V494" 1
"1042" 300 "V494" 1
"1043" 582 "V494" 1
"1044" 11 "V495" 1
"1045" 300 "V495" 1
"1046" 269 "V496" 1
"1047" 638 "V496" 1
"1048" 269 "V497" 1
"1049" 638 "V497" 1
"1050" 529 "V498" 1
"1051" 434 "V506" 1
"1052" 500 "V506" 1
"1053" 551 "V506" 1
"1054" 540 "V510" 1
"1055" 69 "V513" 1
"1056" 505 "V514" 1
"1057" 282 "V517" 1
"1058" 357 "V519" 1
"1059" 632 "V524" 1
"1060" 506 "V525" 1
"1061" 256 "V527" 1
"1062" 94 "V529" 1
"1063" 3 "V531" 1
"1064" 522 "V546" 1
"1065" 24 "V547" 1
"1066" 63 "V547" 1
"1067" 117 "V547" 1
"1068" 280 "V547" 1
"1069" 287 "V547" 1
